rho,mu,D,V,e,L,Re,eD,f,delta_P
1000,0.00091,0.0994,7.98,0.0001,1.8,871661.538461538,0.00100603621730382,0.0193196831701692,11139.4027860632
1000,0.00091,0.0994,8.45,0.0001,1.8,923000,0.00100603621730382,0.0194088587759278,12547.8564876596
1000,0.00086,0.0994,8.35,0.0001,1.8,965104.651162791,0.00100603621730382,0.0194536008162266,12280.8683563222
1000,0.00086,0.0994,7.79,0.0001,1.8,900379.069767442,0.00100603621730382,0.0194088587759278,10664.267748087
1000,0.00086,0.0994,8.4,0.0001,1.8,970883.720930233,0.00100603621730382,0.0193196831701692,12342.8285718152
1000,0.00132,0.0494,0.434,0.0001,1.8,16242.1212121212,0.00202429149797571,0.0282227936211811,96.8489729510134
1000,0.00132,0.0494,0.51,0.0001,1.8,19086.3636363636,0.00202429149797571,0.0272207445510533,128.989961375629
1000,0.00132,0.0494,0.782,0.0001,1.8,29265.7575757576,0.00202429149797571,0.0240325580493324,267.749745459595
1000,0.00132,0.0494,0.86,0.0001,1.8,32184.8484848485,0.00202429149797571,0.0230993628017319,311.252223792405
1000,0.00132,0.0494,0.948,0.0001,1.8,35478.1818181818,0.00202429149797571,0.0227981706428029,373.277863045195
1000,0.0013,0.0494,1.04,0.0001,1.8,39520,0.00202429149797571,0.0227091040400683,447.488871189556
1000,0.0013,0.0494,1.16,0.0001,1.8,44080,0.00202429149797571,0.0220495636796963,540.544607260313
1000,0.0013,0.0494,1.58,0.0001,1.8,60040,0.00202429149797571,0.0211689832851074,962.785928859268
1000,0.0013,0.0494,1.74,0.0001,1.8,66120,0.00202429149797571,0.021291193159295,1174.39463093469
1000,0.00128,0.0494,2.14,0.0001,1.8,82590.625,0.00202429149797571,0.0209990670376243,1752.03632925007
1000,0.00128,0.0494,2.52,0.0001,1.8,97256.25,0.00202429149797571,0.0208785339457714,2415.55339620049
1000,0.00128,0.0494,2.96,0.0001,1.8,114237.5,0.00202429149797571,0.0209411245585089,3342.71217082285
1000,0.00126,0.0494,3.22,0.0001,1.8,126244.444444444,0.00202429149797571,0.0210280983703774,3972.16521516354
1000,0.00126,0.0494,3.82,0.0001,1.8,149768.253968254,0.00202429149797571,0.0208785339457714,5550.63009868921
1000,0.00124,0.0494,4.07,0.0001,1.8,162143.548387097,0.00202429149797571,0.0212617985986252,6416.59131266661
1000,0.0012,0.0494,4.68,0.0001,1.8,192660,0.00202429149797571,0.0214881981440347,8574.46963414807
1000,0.00118,0.0494,5.55,0.0001,1.8,232347.457627119,0.00202429149797571,0.0219583650097319,12322.5766071061
1000,0.00116,0.0494,7.35,0.0001,1.8,313008.620689655,0.00202429149797571,0.0224078402678606,22054.1456636325
1000,0.00086,0.0494,6.64,0.0001,1.8,381413.953488372,0.00202429149797571,0.0227091040400683,18241.1291930465
1000,0.00086,0.0494,7.34,0.0001,1.8,421623.255813954,0.00202429149797571,0.0229192287926546,22496.1231268702
1000,0.00086,0.0494,8.79,0.0001,1.8,504913.953488372,0.00202429149797571,0.0230993628017319,32515.7151762017
1000,0.00117,0.0494,1.21,0.0001,1.8,51088.8888888889,0.00202429149797571,0.0217320151939997,579.677309736466
1000,0.00119,0.0494,4.86,0.0001,1.8,201751.260504202,0.00202429149797571,0.0215179057033975,9259.51200398323
1000,0.0012,0.0494,8.54,0.0001,1.8,351563.333333333,0.00202429149797571,0.0227091040400683,30173.8899390239
1000,0.00089,0.0494,11.04,0.0001,1.8,612782.02247191,0.00202429149797571,0.0232327168784863,51588.595849134
1000,0.00128,0.0994,0.723,0.0002,1.8,56145.46875,0.00201207243460765,0.0215526164356616,102.007644598765
1000,0.00128,0.0994,0.955,0.0002,1.8,74161.71875,0.00201207243460765,0.0210280983703774,173.645234151098
1000,0.00128,0.0994,1.16,0.0002,1.8,90081.25,0.00201207243460765,0.0209411245585089,255.136212126123
1000,0.00128,0.0994,1.755,0.0002,1.8,136286.71875,0.00201207243460765,0.0209411245585089,583.996664501905
1000,0.00128,0.0994,2.32,0.0002,1.8,180162.5,0.00201207243460765,0.0213501042512723,1040.47606649742
1000,0.00118,0.0994,3.09,0.0002,1.8,260293.220338983,0.00201207243460765,0.0220495636796963,1906.22027236517
1000,0.00118,0.0994,4.54,0.0002,1.8,382437.288135593,0.00201207243460765,0.0226516582125459,4227.34634378612
1000,0.00118,0.0994,6.66,0.0002,1.8,561020.338983051,0.00201207243460765,0.0229509147602423,9217.31826222798
1000,0.00118,0.0994,8.33,0.0002,1.8,701696.610169492,0.00201207243460765,0.0232594799353611,14613.2269070232
1000,0.00091,0.0994,6.97,0.0002,1.8,761338.461538461,0.00201207243460765,0.0233776041227469,10283.0436953127
1000,0.00091,0.0994,7.7,0.0002,1.8,841076.923076923,0.00201207243460765,0.0235884823562898,12663.0282395773
1000,0.00091,0.0994,8.5,0.0002,1.8,928461.538461538,0.00201207243460765,0.0234692926268646,15353.0256847271
1000,0.00089,0.0994,8.8,0.0002,1.8,982831.460674157,0.00201207243460765,0.0235288120193817,16497.6265845355
1000,0.00132,0.02474,0.228,0.0001,3.57,4273.27272727273,0.00404203718674212,0.03926449353996,147.26794245932
1000,0.00132,0.02474,0.252,0.0001,3.57,4723.09090909091,0.00404203718674212,0.0387257644921617,177.435129051486
1000,0.00132,0.02474,0.277,0.0001,3.57,5191.65151515152,0.00404203718674212,0.0376703798983909,208.544174774219
1000,0.00132,0.02474,0.307,0.0001,3.57,5753.92424242424,0.00404203718674212,0.0368128973642531,250.331369974739
1000,0.00132,0.02474,0.344,0.0001,3.57,6447.39393939394,0.00404203718674212,0.0356451133426244,304.337459035382
1000,0.00132,0.02474,0.363,0.0001,3.57,6803.5,0.00404203718674212,0.0366437574647833,348.378845194746
1000,0.00132,0.02474,0.418,0.0001,3.57,7834.33333333333,0.00404203718674212,0.0340408189701001,429.13218576844
1000,0.00132,0.02474,0.448,0.0001,3.57,8396.60606060606,0.00404203718674212,0.0327340694878838,474.017693947283
1000,0.00132,0.02474,0.475,0.0001,3.57,8902.65151515152,0.00404203718674212,0.0318419752172612,518.353152798476
1000,0.00132,0.02474,0.492,0.0001,3.57,9221.27272727273,0.00404203718674212,0.0314774831410132,549.754421184215
1000,0.00132,0.02474,0.552,0.0001,3.57,10345.8181818182,0.00404203718674212,0.0309741929921658,680.952283554993
1000,0.00132,0.02474,0.688,0.0001,3.57,12894.7878787879,0.00404203718674212,0.0295801246655155,1010.2186958556
1000,0.00132,0.02474,0.837,0.0001,3.57,15687.4090909091,0.00404203718674212,0.0282487997491571,1427.8725385517
1000,0.00132,0.02474,0.982,0.0001,3.57,18405.0606060606,0.00404203718674212,0.0272270130807791,1894.35557636884
1000,0.00132,0.02474,1.14,0.0001,3.57,21366.3636363636,0.00404203718674212,0.0265460556197554,2489.13371794381
1000,0.00132,0.02474,1.295,0.0001,3.57,24271.4393939394,0.00404203718674212,0.0260015956316527,3146.14012759894
1000,0.00132,0.02474,1.365,0.0001,3.57,25583.4090909091,0.00404203718674212,0.025822601906346,3471.39335589969
1000,0.00132,0.02474,1.575,0.0001,3.57,29519.3181818182,0.00404203718674212,0.0251188643150958,4495.7240009324
1000,0.00132,0.02474,1.67,0.0001,3.57,31299.8484848485,0.00404203718674212,0.0248885731828239,5008.08241806775
1000,0.00132,0.02474,1.73,0.0001,3.57,32424.3939393939,0.00404203718674212,0.0251188643150958,5424.13801456915
1000,0.00132,0.02474,1.89,0.0001,3.57,35423.1818181818,0.00404203718674212,0.0247172414501613,6370.33297731028
1000,0.00132,0.02474,2.23,0.0001,3.57,41795.6060606061,0.00404203718674212,0.0246603933723434,8848.06391711268
1000,0.00132,0.02474,2.66,0.0001,3.57,49854.8484848485,0.00404203718674212,0.0246036760414763,12560.351649367
1000,0.00132,0.02474,3.07,0.0001,3.57,57539.2424242424,0.00404203718674212,0.0251188643150958,17081.0780091258
1000,0.00132,0.02474,3.52,0.0001,3.57,65973.3333333333,0.00404203718674212,0.0252929799644614,22611.2125314761
1000,0.00128,0.02474,4.2,0.0001,3.57,81178.125,0.00404203718674212,0.0255858588690565,32563.952002972
1000,0.00128,0.02474,5,0.0001,3.57,96640.625,0.00404203718674212,0.0259417936211881,46792.7461740307
1000,0.00128,0.02474,5.9,0.0001,3.57,114035.9375,0.00404203718674212,0.0264240875732195,66365.5271558783
1000,0.00128,0.02474,6.83,0.0001,3.57,132011.09375,0.00404203718674212,0.0265460556197554,89346.9913011612
1000,0.00128,0.02474,7.55,0.0001,3.57,145927.34375,0.00404203718674212,0.0269153480392692,110696.127566535
1000,0.00089,0.0992,3.5,0.0004,3.57,390112.359550562,0.00403225806451613,0.0281838293126445,6212.44614624611
1000,0.00089,0.0992,3.71,0.0004,3.57,413519.101123595,0.00403225806451613,0.0283791902844156,7028.68964913103
1000,0.00089,0.0992,4.06,0.0004,3.57,452530.337078652,0.00403225806451613,0.0279898131963436,8301.92136465525
1000,0.00089,0.0992,4.24,0.0004,3.57,472593.258426966,0.00403225806451613,0.0281838293126445,9117.13239500033
1000,0.00089,0.0992,4.58,0.0004,3.57,510489.887640449,0.00403225806451613,0.0278612116862977,10516.1677284009
1000,0.00089,0.0992,4.88,0.0004,3.57,543928.08988764,0.00403225806451613,0.0283139199579938,12132.943977561
1000,0.00089,0.0992,5.11,0.0004,3.57,569564.04494382,0.00403225806451613,0.0278612116862977,13090.8651313275
1000,0.00089,0.0992,5.35,0.0004,3.57,596314.606741573,0.00403225806451613,0.0278612116862977,14349.4122349953
1000,0.00085,0.0992,5.38,0.0004,3.57,627877.647058823,0.00403225806451613,0.0281838293126445,14678.8184681964
1000,0.00085,0.0992,5.81,0.0004,3.57,678061.176470588,0.00403225806451613,0.0281838293126445,17119.0166005958
1000,0.00085,0.0992,5.86,0.0004,3.57,683896.470588235,0.00403225806451613,0.0279254384123734,17255.2708372619
1000,0.00085,0.0992,6.42,0.0004,3.57,749251.764705882,0.00403225806451613,0.0281838293126445,20902.4216605827
1000,0.00085,0.0992,6.72,0.0004,3.57,784263.529411765,0.00403225806451613,0.0279898131963436,22743.9082332529
1000,0.00085,0.0992,7.38,0.0004,3.57,861289.411764706,0.00403225806451613,0.0281838293126445,27620.991990825
1000,0.00085,0.0992,7.83,0.0004,3.57,913807.058823529,0.00403225806451613,0.0277971326775929,30665.5015654923
1000,0.00085,0.0992,8,0.0004,3.57,933647.058823529,0.00403225806451613,0.0281190083039894,32382.2127887878
1000,0.00135,0.0992,8.32,0.0004,3.57,611365.925925926,0.00403225806451613,0.0279898131963436,34863.6779267097
1000,0.00117,0.0992,1.21,0.0004,3.57,102591.452991453,0.00403225806451613,0.0269153480392692,709.083351812144
1000,0.00117,0.0992,1.32,0.0004,3.57,111917.948717949,0.00403225806451613,0.0270395836410884,847.762907330393
1000,0.00117,0.0992,1.24,0.0004,3.57,105135.042735043,0.00403225806451613,0.0260015956316527,719.399147138752
1000,0.00117,0.0992,1.49,0.0004,3.57,126331.623931624,0.00403225806451613,0.0264240875732195,1055.59927949626
1000,0.00117,0.0992,1.59,0.0004,3.57,134810.256410256,0.00403225806451613,0.0264240875732195,1202.04519548421
1000,0.00117,0.0992,1.78,0.0004,3.57,150919.658119658,0.00403225806451613,0.0269153480392692,1534.49879918148
1000,0.00117,0.0992,1.85,0.0004,3.57,156854.700854701,0.00403225806451613,0.0269153480392692,1657.56285197532
1000,0.00117,0.0992,1.98,0.0004,3.57,167876.923076923,0.00403225806451613,0.0272270130807791,1920.68846790491
